18/08/2026 - 15:48:08 | google.com | PING | SUCESSO!
19/08/2026 - 15:19:06 | google.com | DNS | SUCESSO!
19/08/2026 - 15:20:33 | google.com | PING | SUCESSO!
19/08/2026 - 15:20:33 | google.com | HTTP | SUCESSO!
19/08/2026 - 15:20:33 | google.com | DNS | SUCESSO!
19/08/2026 - 15:21:23 | google.com | PING | SUCESSO!
19/08/2026 - 15:21:24 | google.com | HTTP | SUCESSO!
19/08/2026 - 15:21:24 | google.com | DNS | SUCESSO!
19/08/2026 - 15:23:14 | google.com | PING | SUCESSO!
19/08/2026 - 15:23:14 | google.com | HTTP | SUCESSO!
19/08/2026 - 15:23:14 | google.com | DNS | SUCESSO!
19/08/2026 - 15:27:40 | google.com | PING | SUCESSO!
19/08/2026 - 15:27:40 | google.com | HTTP | SUCESSO!
19/08/2026 - 15:27:40 | google.com | DNS | SUCESSO!
19/08/2026 - 15:29:46 | google.com | PING | SUCESSO!
19/08/2026 - 15:29:48 | google.com | HTTP | SUCESSO!
19/08/2026 - 15:29:48 | google.com | DNS | SUCESSO!
19/08/2026 - 15:31:47 | google.com | PING | SUCESSO!
19/08/2026 - 15:31:48 | google.com | HTTP | SUCESSO!
19/08/2026 - 15:31:48 | google.com | DNS | SUCESSO!
19/08/2026 - 15:33:50 | google.com | PING | SUCESSO!
19/08/2026 - 15:33:51 | google.com | HTTP | SUCESSO!
19/08/2026 - 15:33:51 | google.com | DNS | SUCESSO!
19/08/2026 - 15:34:03 | google.com | PING | SUCESSO!
19/08/2026 - 15:34:04 | google.com | HTTP | SUCESSO!
19/08/2026 - 15:34:04 | google.com | DNS | SUCESSO!
19/08/2026 - 15:34:17 | google.com | PING | SUCESSO!
19/08/2026 - 15:34:18 | google.com | HTTP | SUCESSO!
19/08/2026 - 15:34:18 | google.com | DNS | SUCESSO!
19/08/2026 - 15:36:09 | google.com | PING | SUCESSO!
19/08/2026 - 15:36:10 | google.com | HTTP | SUCESSO!
19/08/2026 - 15:36:10 | google.com | DNS | SUCESSO!
